ModelForces
version=1
nRows=260
nColumns=3
inDegrees=no

This file contains the forces exerted on a model during a simulation.

A force is a generalized force, meaning that it can be either a force (N) or a torque (Nm).

Units are S.I. units (second, meters, Newtons, ...)
Angles are in degrees.

endheader
time	RightMuscle	LeftMuscle
      0.50116704	    147.31410231	    219.55103367
      0.50267584	    148.94190552	    224.91182079
      0.50464431	    151.28594351	    232.34270533
      0.50661279	    153.84027849	    241.47870687
      0.50907552	    157.31074139	    257.65300596
      0.51288262	    163.40111151	    289.71296490
      0.51668971	    170.55793248	    323.84215360
      0.51973823	    176.99068847	    351.46301805
      0.52278674	    183.82493786	    377.62900359
      0.52641074	    192.37529041	    406.63340946
      0.53003474	    201.70714097	    432.40354041
      0.53365873	    212.51981513	    454.18739512
      0.53728273	    225.75628683	    470.51383307
      0.54090673	    242.50811689	    479.10478579
      0.54453072	    263.75365572	    478.41545658
      0.54890491	    295.59792380	    467.60714688
      0.55428154	    339.79320883	    448.12496259
      0.55664534	    357.68628740	    440.22404056
      0.55950572	    372.24181104	    432.50669971
      0.56236611	    377.93786477	    426.94698937
      0.56522649	    379.52307479	    423.13427079
      0.56874235	    379.63250113	    420.05354131
      0.57225820	    378.61333226	    418.00145266
      0.57577405	    376.52662840	    416.43721554
      0.57928991	    373.17685878	    414.99778195
      0.58280576	    368.25713615	    413.41743364
      0.58632162	    361.34363763	    411.47040876
      0.58948552	    352.97697469	    409.21860254
      0.59264942	    342.47314468	    406.31019038
      0.59581332	    329.97408578	    402.55365942
      0.59897722	    315.95411308	    397.76404045
      0.60048584	    308.91381152	    395.06982180
      0.60199446	    302.01086594	    392.06857210
      0.60547923	    287.17780308	    383.69247610
      0.60896400	    273.80002037	    373.14636942
      0.61244877	    261.85385738	    360.61363282
      0.61593354	    251.13012601	    346.52563302
      0.62025505	    239.32915504	    327.70897130
      0.62457656	    228.67798706	    308.38335603
      0.62889807	    219.11308646	    289.48689881
      0.63321958	    210.37959413	    271.75040971
      0.63754109	    202.36573475	    255.66234655
      0.64273243	    193.62132697	    238.83904358
      0.64792376	    185.50328330	    224.73103713
      0.65309869	    178.23359064	    213.05417217
      0.65827361	    171.48903578	    203.25905892
      0.66378221	    165.04828055	    194.19558743
      0.66929081	    159.01986459	    185.59240505
      0.67451677	    153.90454802	    177.16636162
      0.67974274	    148.88422312	    168.61509934
      0.68373262	    145.08632925	    162.83726039
      0.68874002	    139.88634040	    156.66444554
      0.69374741	    134.24878588	    151.14694343
      0.69783187	    130.87114064	    146.54828202
      0.70191633	    130.05209364	    141.73257948
      0.70600079	    130.10258134	    136.93350848
      0.71092983	    129.85111711	    131.48767291
      0.71588807	    129.69831598	    126.62330171
      0.72084631	    130.68630410	    122.49954962
      0.72521806	    133.17228724	    119.54795784
      0.72914606	    136.96825100	    117.50590188
      0.73307406	    142.48400471	    116.11900412
      0.73700206	    149.92408132	    115.48514066
      0.74093006	    159.29092482	    115.71971448
      0.74485806	    170.46317160	    116.94817167
      0.74878606	    183.22824034	    119.29408267
      0.75271406	    197.36714741	    122.86637857
      0.75664206	    212.59140300	    127.74483702
      0.76152584	    232.36356414	    135.67049244
      0.76518377	    247.84931453	    142.88774293
      0.76829753	    260.46013896	    149.73672700
      0.77141129	    273.41439443	    156.95158210
      0.77458903	    285.85882219	    164.17398304
      0.77776676	    298.34162237	    170.64751935
      0.78094450	    309.55554812	    176.06137583
      0.78412223	    320.95321455	    180.50420892
      0.78662413	    328.41200941	    183.50639555
      0.78912603	    335.82432291	    186.27369704
      0.79297096	    345.29805567	    190.49568244
      0.79549111	    351.14716098	    193.51894638
      0.79801127	    355.62235368	    196.94580195
      0.80146649	    360.69699950	    202.59997550
      0.80475797	    363.61526830	    209.34234389
      0.80804945	    365.66476076	    217.74135918
      0.81134093	    365.45275178	    228.07112806
      0.81463241	    364.41036679	    240.50176085
      0.81792389	    361.85085625	    254.96417011
      0.82544066	    353.38191655	    293.08411446
      0.82843279	    349.94482868	    308.66870758
      0.83222023	    345.16425186	    327.26594475
      0.83777339	    338.97064863	    349.89159922
      0.84085433	    335.51427073	    359.33061723
      0.84393527	    332.82532781	    366.58718773
      0.84940950	    328.96420779	    374.75888598
      0.85348799	    327.39353759	    377.37048106
      0.85756648	    326.19486243	    377.24868943
      0.86164498	    326.30934519	    374.62127051
      0.86572347	    326.50539900	    369.82146113
      0.86980196	    327.86145007	    363.35792022
      0.87388045	    328.85658818	    355.84735792
      0.87737421	    330.55914558	    349.10412104
      0.88086796	    331.81095918	    342.49871787
      0.88506055	    333.73322679	    335.24592747
      0.88868497	    334.81521713	    329.88990259
      0.89230939	    336.29981300	    325.58947817
      0.89593381	    337.05796967	    322.43329888
      0.89955823	    338.06267082	    320.43956556
      0.90318265	    338.39420928	    319.54569575
      0.90680707	    338.84757943	    319.64576347
      0.91043149	    338.77542069	    320.58622338
      0.91500476	    338.83486573	    322.70667953
      0.91838276	    338.22828595	    324.73530697
      0.92176077	    337.96875033	    326.99590914
      0.92609459	    337.17199096	    330.00735744
      0.92990879	    336.85664257	    332.57695422
      0.93372298	    335.95270983	    334.91366972
      0.93753717	    335.78212322	    336.91722883
      0.94135136	    334.84470534	    338.50633517
      0.94465648	    334.85323208	    339.52828219
      0.94796160	    334.39658911	    340.20831134
      0.95209565	    334.30871670	    340.60482945
      0.95622971	    333.82363543	    340.54154139
      0.95950994	    334.11931977	    340.22018703
      0.96279016	    333.97959518	    339.70129721
      0.96699726	    334.23727217	    338.83075031
      0.97120435	    333.99059458	    337.81865691
      0.97429605	    334.49075781	    337.04712521
      0.97738774	    334.52100339	    336.28442125
      0.98184250	    334.85840218	    335.26616448
      0.98561353	    334.81351386	    334.51993256
      0.98938457	    335.24030877	    333.91468820
      0.99315560	    335.01704171	    333.45923806
      0.99692664	    335.56352855	    333.16596103
      1.00000000	    335.28223263	    333.03526758
